日期,时段,电价,电力负荷,外送电,备用,光伏,风电
2022/6/2,5:30,624,30683,750,7223,29,6971
2022/6/2,5:45,624,30747,750,7040,105,6913
2022/6/2,6:00,624,31002,750,7115,275,6846
2022/6/2,6:15,624,31104,750,7137,475,6791
2022/6/2,6:30,624,31269,750,7235,560,6773
2022/6/2,6:45,624,31450,750,6985,473,6777
2022/6/2,7:00,624,31327,750,7239,651,6577
2022/6/2,7:15,600,31433,844,7055,997,6206
2022/6/2,7:30,600,31298,938,7113,1381,5668
2022/6/2,7:45,600,31247,1031,7279,1774,5292
2022/6/2,8:00,600,31046,1125,7760,2183,5143
2022/6/2,8:15,470,31064,1219,8047,2649,5206
2022/6/2,8:30,470,31227,1313,8413,3108,5415
2022/6/2,8:45,470,31323,1406,8864,3550,5732
2022/6/2,9:00,470,31367,1500,9251,4000,5889
2022/6/2,9:15,393,31311,1500,9735,4399,5944
2022/6/2,9:30,393,31473,1500,9791,4811,5793
2022/6/2,9:45,393,31549,1500,10017,5159,5783
2022/6/2,10:00,393,31497,1500,10169,5415,5670
2022/6/2,10:15,371,31794,1500,9919,5620,5512
2022/6/2,10:30,371,31875,1500,9851,5893,5292
2022/6/2,10:45,371,31823,1500,10089,5999,5075
2022/6/2,11:00,371,32041,1500,9772,6029,4996
2022/6/2,11:15,372,32084,1406,10019,6071,5000
2022/6/2,11:30,372,32057,1313,10324,6208,5030
2022/6/2,11:45,372,32011,1219,10488,6297,5074
2022/6/2,12:00,372,31875,1125,10856,6322,5147
2022/6/2,12:15,370,31649,1125,11045,6327,5205
2022/6/2,12:30,370,31492,1125,11305,6356,5240
2022/6/2,12:45,370,31316,1125,11537,6301,5347
2022/6/2,13:00,370,31276,1125,11549,6258,5450
2022/6/2,13:15,366,31325,1125,11521,6289,5451
2022/6/2,13:30,366,31142,1125,11684,6256,5501
2022/6/2,13:45,366,31123,1125,11676,6156,5559
2022/6/2,14:00,366,31112,1125,11659,6012,5593
2022/6/2,14:15,371,31219,1125,11403,5818,5634
2022/6/2,14:30,371,31343,1125,11183,5625,5694
2022/6/2,14:45,371,31339,1125,11029,5398,5755
2022/6/2,15:00,371,31375,1125,10731,5153,5830
2022/6/2,15:15,384,31392,1125,10465,4876,5946
2022/6/2,15:30,384,31481,1125,10002,4569,6094
2022/6/2,15:45,384,31488,1125,9567,4228,6226
2022/6/2,16:00,384,31445,1125,9095,3872,6330
2022/6/2,16:15,409,31520,1219,8418,3544,6302
2022/6/2,16:30,409,31640,1313,7684,3183,6313
2022/6/2,16:45,409,31755,1406,6838,2738,6267
2022/6/2,17:00,409,31697,1500,6226,2361,6146
2022/6/2,17:15,432,31634,1500,5576,1992,6029
2022/6/2,17:30,432,31717,1500,4856,1617,5799
2022/6/2,17:45,432,31754,1500,4306,1280,5630
2022/6/2,18:00,432,31794,1500,3791,1003,5503
2022/6/2,18:15,502,31868,1500,3213,766,5492
2022/6/2,18:30,502,31979,1500,2929,578,5600
2022/6/2,18:45,502,32005,1500,2976,635,5710
2022/6/2,19:00,502,31969,1500,3162,605,5878
2022/6/2,19:15,603,31979,1500,2929,418,6042
2022/6/2,19:30,603,32077,1500,2800,291,6324
2022/6/2,19:45,603,32111,1500,2996,190,6516
2022/6/2,20:00,603,32266,1500,3392,136,6689
2022/6/2,20:15,633,32319,1406,3602,21,7007
2022/6/2,20:30,633,32425,1313,3413,0,7469
2022/6/2,20:45,633,32418,1219,3573,0,7867
2022/6/2,21:00,633,32522,1125,3613,0,8237
2022/6/2,21:15,639,32694,1125,4250,0,8503
2022/6/2,21:30,639,32686,1125,4604,0,8687
2022/6/2,21:45,639,32598,1125,4759,0,8767
2022/6/2,22:00,639,32484,1125,5099,0,8939
2022/6/2,22:15,575,32266,1031,5489,0,9106
2022/6/2,22:30,575,32032,938,5859,0,9303
2022/6/2,22:45,575,31905,844,6233,0,9476
2022/6/2,23:00,575,31576,750,6922,0,9589
2022/6/2,23:15,408,31383,750,7327,0,9585
2022/6/2,23:30,408,31087,750,7739,0,9478
2022/6/2,23:45,408,31070,750,8119,0,9392
2022/6/2,0:00,408,30952,750,8224,0,9362
2022/6/3,0:15,454,30997,750,8175,0,9249
2022/6/3,0:30,454,30900,750,8010,0,9327
2022/6/3,0:45,454,30797,750,7847,0,9396
2022/6/3,1:00,454,30811,750,7717,0,9439
2022/6/3,1:15,428,30689,750,7673,0,9467
2022/6/3,1:30,428,30642,750,7697,0,9461
2022/6/3,1:45,428,30655,750,7605,0,9403
2022/6/3,2:00,428,30598,750,7669,0,9307
2022/6/3,2:15,426,30588,750,7594,0,9243
2022/6/3,2:30,426,30551,750,7517,0,9221
2022/6/3,2:45,426,30523,750,7504,0,9215
2022/6/3,3:00,426,30541,750,7593,0,9284
2022/6/3,3:15,435,30472,750,7509,0,9313
2022/6/3,3:30,435,30462,750,7485,0,9297
2022/6/3,3:45,435,30472,750,7512,0,9330
2022/6/3,4:00,435,30514,750,7310,0,9284
2022/6/3,4:15,435,30401,750,7427,0,9211
2022/6/3,4:30,435,30398,750,7316,0,9055
2022/6/3,4:45,435,30472,750,7400,0,8981
2022/6/3,5:00,435,30439,750,7289,10,8900
2022/6/3,5:15,492,30561,750,7331,73,8787
2022/6/3,5:30,492,30714,750,7157,121,8799
2022/6/3,5:45,492,30827,750,6936,205,8689
2022/6/3,6:00,492,31091,750,6524,334,8575
2022/6/3,6:15,519,31327,750,6298,454,8485
2022/6/3,6:30,519,31530,750,5884,522,8468
2022/6/3,6:45,519,31554,750,5487,477,8416
2022/6/3,7:00,519,31756,750,5435,610,8350
2022/6/3,7:15,498,31747,844,5512,848,8149
2022/6/3,7:30,498,31580,938,5685,1115,7906
2022/6/3,7:45,498,31568,1031,5786,1367,7737
2022/6/3,8:00,498,31462,1125,5694,1632,7560
2022/6/3,8:15,463,31553,1219,5915,1897,7449
2022/6/3,8:30,463,31603,1313,6210,2176,7409
2022/6/3,8:45,463,31744,1406,6452,2423,7287
2022/6/3,9:00,463,31805,1500,6728,2642,7104
2022/6/3,9:15,498,31845,1500,7186,2861,7028
2022/6/3,9:30,498,31960,1500,7212,3080,6872
2022/6/3,9:45,498,31999,1500,7417,3287,6819
2022/6/3,10:00,498,32027,1500,7990,3464,6688
2022/6/3,10:15,552,32102,1500,8214,3628,6591
2022/6/3,10:30,552,32188,1500,8564,3790,6596
2022/6/3,10:45,552,32276,1500,8854,3996,6563
2022/6/3,11:00,552,32326,1500,9013,4206,6486
2022/6/3,11:15,437,32407,1406,9264,4378,6402
2022/6/3,11:30,437,32423,1313,9444,4525,6455
2022/6/3,11:45,437,32246,1219,10020,4677,6474
2022/6/3,12:00,437,32043,1125,10314,4742,6406
2022/6/3,12:15,365,31815,1125,10652,4757,6360
2022/6/3,12:30,365,31728,1125,10657,4653,6211
2022/6/3,12:45,365,31601,1125,10768,4569,6105
2022/6/3,13:00,365,31519,1125,10747,4495,6082
2022/6/3,13:15,355,31481,1125,10278,4421,6039
2022/6/3,13:30,355,31388,1125,10166,4304,6059
2022/6/3,13:45,355,31448,1125,10196,4185,6125
2022/6/3,14:00,355,31474,1125,9912,4093,6170
2022/6/3,14:15,350,31499,1125,9732,3964,6167
2022/6/3,14:30,350,31590,1125,9434,3759,6119
2022/6/3,14:45,350,31641,1125,9200,3510,6157
2022/6/3,15:00,350,31680,1125,8967,3345,6213
2022/6/3,15:15,353,31684,1125,8704,3077,6258
2022/6/3,15:30,353,31790,1125,8341,2857,6287
2022/6/3,15:45,353,31774,1125,8056,2660,6340
2022/6/3,16:00,353,31734,1125,7760,2440,6347
2022/6/3,16:15,419,31781,1219,7179,2256,6275
2022/6/3,16:30,419,31951,1313,6610,2083,6146
2022/6/3,16:45,419,32041,1406,6179,1903,6038
2022/6/3,17:00,419,31990,1500,5740,1684,5808
2022/6/3,17:15,403,31926,1500,5154,1481,5524
2022/6/3,17:30,403,31939,1500,4430,1274,5138
2022/6/3,17:45,403,32025,1500,3806,1048,4839
2022/6/3,18:00,403,32056,1500,3227,843,4665
2022/6/3,18:15,402,32087,1500,2896,667,4666
2022/6/3,18:30,402,32157,1500,2634,545,4825
2022/6/3,18:45,402,32145,1500,2698,581,4943
2022/6/3,19:00,402,32110,1500,2643,638,5038
2022/6/3,19:15,415,32263,1500,2454,502,5059
2022/6/3,19:30,415,32298,1500,2462,370,5012
2022/6/3,19:45,415,32420,1500,2400,247,4954
2022/6/3,20:00,415,32533,1500,2550,137,4825
2022/6/3,20:15,421,32662,1406,2699,20,4736
2022/6/3,20:30,421,32726,1313,3005,0,4745
2022/6/3,20:45,421,32706,1219,3069,0,4723
2022/6/3,21:00,421,32794,1125,2975,0,4707
2022/6/3,21:15,428,32997,1125,2590,0,4664
2022/6/3,21:30,428,32912,1125,2472,0,4708
2022/6/3,21:45,428,32839,1125,2527,0,4719
2022/6/3,22:00,428,32710,1125,2566,0,4745
2022/6/3,22:15,422,32553,1031,2793,0,4752
2022/6/3,22:30,422,32362,938,3224,0,4689
2022/6/3,22:45,422,32207,844,3296,0,4664
2022/6/3,23:00,422,32233,750,3704,0,4636
2022/6/3,23:15,387,31903,750,4046,0,4665
2022/6/3,23:30,387,31615,750,4324,0,4752
2022/6/3,23:45,387,31614,750,4142,0,4899
2022/6/3,0:00,387,31338,750,4314,0,4967
2022/6/4,0:15,410,30950,750,4553,0,7110
2022/6/4,0:30,410,30973,750,4604,0,6917
2022/6/4,0:45,410,30902,750,4850,0,6808
2022/6/4,1:00,410,30893,750,5192,0,6734
2022/6/4,1:15,424,30851,750,5205,0,6715
2022/6/4,1:30,424,30905,750,4980,0,6597
2022/6/4,1:45,424,30819,750,4947,0,6629
2022/6/4,2:00,424,30715,750,5021,0,6622
2022/6/4,2:15,433,30762,750,4889,0,6428
2022/6/4,2:30,433,30739,750,4980,0,6308
2022/6/4,2:45,433,30611,750,5006,0,6082
2022/6/4,3:00,433,30665,750,5037,0,5959
2022/6/4,3:15,375,30690,750,4724,0,5900
2022/6/4,3:30,375,30621,750,4736,0,5914
2022/6/4,3:45,375,30645,750,4660,0,5807
2022/6/4,4:00,375,30685,750,4661,0,5670
2022/6/4,4:15,413,30619,750,4869,0,5510
2022/6/4,4:30,413,30699,750,4976,0,5381
2022/6/4,4:45,413,30677,750,5150,6,5282
2022/6/4,5:00,413,30792,750,5092,21,5248
2022/6/4,5:15,464,30749,750,5172,33,5280
2022/6/4,5:30,464,30831,750,5290,45,5366
2022/6/4,5:45,464,31097,750,5469,86,5474
2022/6/4,6:00,464,31325,750,5428,218,5554
2022/6/4,6:15,534,31524,750,5518,448,5705
2022/6/4,6:30,534,31648,750,5710,640,5896
2022/6/4,6:45,534,31725,750,5681,584,6059
2022/6/4,7:00,534,31661,750,6063,793,6265
2022/6/4,7:15,474,31742,844,6569,1152,6567
2022/6/4,7:30,474,31471,938,7300,1560,6991
2022/6/4,7:45,474,31496,1031,7970,1996,7241
2022/6/4,8:00,474,31361,1125,8482,2445,7607
2022/6/4,8:15,355,31534,1219,8903,2885,7878
2022/6/4,8:30,355,31557,1313,9431,3317,8135
2022/6/4,8:45,355,31654,1406,9771,3739,8296
2022/6/4,9:00,355,31751,1500,10288,4134,8437
2022/6/4,9:15,330,31829,1500,10612,4490,8737
2022/6/4,9:30,330,31895,1500,10812,4814,9096
2022/6/4,9:45,330,31950,1500,11346,5094,9364
2022/6/4,10:00,330,31972,1500,11780,5337,9491
2022/6/4,10:15,245,32093,1500,11783,5536,9524
2022/6/4,10:30,245,32150,1500,11783,5707,9668
2022/6/4,10:45,245,32196,1500,11783,5861,9846
2022/6/4,11:00,245,32309,1500,11783,5991,10013
2022/6/4,11:15,61,32399,1406,11783,6109,10153
2022/6/4,11:30,61,32514,1313,11783,6222,10303
2022/6/4,11:45,61,32318,1219,11783,6308,10471
2022/6/4,12:00,61,32177,1125,11783,6383,10695
2022/6/4,12:15,50,31929,1125,11783,6429,10847
2022/6/4,12:30,50,31809,1125,11783,6483,11155
2022/6/4,12:45,50,31701,1125,11783,6488,11400
2022/6/4,13:00,50,31618,1125,11783,6493,11518
2022/6/4,13:15,43,31495,1125,11783,6492,11674
2022/6/4,13:30,43,31440,1125,11783,6519,11839
2022/6/4,13:45,43,31470,1125,11783,6522,12001
2022/6/4,14:00,43,31512,1125,11783,6478,12152
2022/6/4,14:15,114,31558,1125,11783,6394,12282
2022/6/4,14:30,114,31619,1125,11783,6286,12478
2022/6/4,14:45,114,31665,1125,11783,6159,12639
2022/6/4,15:00,114,31730,1125,11783,6006,12714
2022/6/4,15:15,101,31707,1125,11783,5819,12751
2022/6/4,15:30,101,31798,1125,11783,5596,12780
2022/6/4,15:45,101,31812,1125,11783,5344,12777
2022/6/4,16:00,101,31765,1125,11783,5058,12789
2022/6/4,16:15,324,31827,1219,11783,4735,12831
2022/6/4,16:30,324,31960,1313,11783,4379,12831
2022/6/4,16:45,324,32061,1406,11779,3995,12823
2022/6/4,17:00,324,31986,1500,11691,3582,12816
2022/6/4,17:15,364,31945,1500,11555,3149,12727
2022/6/4,17:30,364,31946,1500,11360,2714,12626
2022/6/4,17:45,364,32014,1500,10947,2276,12522
2022/6/4,18:00,364,32064,1500,10358,1844,12340
2022/6/4,18:15,380,32099,1500,9748,1425,12016
2022/6/4,18:30,380,32159,1500,9147,1085,11642
2022/6/4,18:45,380,32171,1500,9004,1054,11181
2022/6/4,19:00,380,32124,1500,8684,1027,10737
2022/6/4,19:15,364,32267,1500,8159,675,10456
2022/6/4,19:30,364,32314,1500,7446,378,10388
2022/6/4,19:45,364,32276,1500,6841,140,10297
2022/6/4,20:00,364,32420,1500,6640,14,10087
2022/6/4,20:15,422,32493,1406,6701,1,9612
2022/6/4,20:30,422,32567,1313,6679,0,9021
2022/6/4,20:45,422,32541,1219,6545,0,8423
2022/6/4,21:00,422,32626,1125,6419,0,7795
2022/6/4,21:15,514,32873,1125,5968,0,7301
2022/6/4,21:30,514,32862,1125,5822,0,7026
2022/6/4,21:45,514,32774,1125,5773,0,6652
2022/6/4,22:00,514,32458,1125,5809,0,6312
2022/6/4,22:15,516,32297,1031,5764,0,6042
2022/6/4,22:30,516,32242,938,5731,0,5754
2022/6/4,22:45,516,32004,844,5509,0,5485
2022/6/4,23:00,516,31726,750,5595,0,5253
2022/6/4,23:15,618,31396,750,5891,0,5221
2022/6/4,23:30,618,31310,750,6029,0,5370
2022/6/4,23:45,618,31110,750,5982,0,5479
2022/6/4,0:00,618,31004,750,5946,0,5541
2022/6/5,0:15,484,30558,750,5942,0,4890
2022/6/5,0:30,484,30430,750,5903,0,4938
2022/6/5,0:45,484,30349,750,6049,0,4944
2022/6/5,1:00,484,30252,750,6093,0,4921
2022/6/5,1:15,494,30142,750,6356,0,5001
2022/6/5,1:30,494,30039,750,6493,0,5137
2022/6/5,1:45,494,30081,750,6933,0,5193
2022/6/5,2:00,494,30067,750,6699,0,5277
2022/6/5,2:15,496,30015,750,6727,0,5402
2022/6/5,2:30,496,29962,750,6819,0,5708
2022/6/5,2:45,496,29998,750,6986,0,5865
2022/6/5,3:00,496,29919,750,6783,0,6076
2022/6/5,3:15,501,29870,750,7059,0,6214
2022/6/5,3:30,501,29794,750,7218,0,6391
2022/6/5,3:45,501,29781,750,7048,0,6611
2022/6/5,4:00,501,29744,750,7295,0,6818
2022/6/5,4:15,511,29724,750,7137,0,7032
2022/6/5,4:30,511,29699,750,7357,0,7232
2022/6/5,4:45,511,29775,750,6644,0,7452
2022/6/5,5:00,511,29750,750,6785,3,7675
2022/6/5,5:15,511,29817,750,6395,13,7905
2022/6/5,5:30,511,30001,750,6181,36,8189
2022/6/5,5:45,511,30164,750,6236,148,8390
2022/6/5,6:00,511,30355,750,6304,374,8605
2022/6/5,6:15,478,30507,750,5867,639,8812
2022/6/5,6:30,478,30634,750,6031,815,8971
2022/6/5,6:45,478,30752,750,5907,758,9150
2022/6/5,7:00,478,30909,750,5885,1024,9331
2022/6/5,7:15,392,30995,844,5956,1442,9742
2022/6/5,7:30,392,30849,938,6231,1903,10311
2022/6/5,7:45,392,30917,1031,6744,2388,10746
2022/6/5,8:00,392,30815,1125,7299,2879,10979
2022/6/5,8:15,337,30942,1219,7798,3372,11151
2022/6/5,8:30,337,30983,1313,8225,3850,11312
2022/6/5,8:45,337,31089,1406,8637,4324,11527
2022/6/5,9:00,337,31187,1500,9049,4766,11618
2022/6/5,9:15,99,31239,1500,9544,5150,11686
2022/6/5,9:30,99,31298,1500,9826,5494,11804
2022/6/5,9:45,99,31343,1500,10179,5818,11907
2022/6/5,10:00,99,31390,1500,10514,6088,12013
2022/6/5,10:15,52,31537,1500,10697,6309,12125
2022/6/5,10:30,52,31590,1500,11075,6499,12220
2022/6/5,10:45,52,31659,1500,11164,6617,12278
2022/6/5,11:00,52,31779,1500,11614,6750,12370
2022/6/5,11:15,40,31849,1406,11678,6806,12444
2022/6/5,11:30,40,31850,1313,11696,6840,12509
2022/6/5,11:45,40,31752,1219,11696,6864,12574
2022/6/5,12:00,40,31500,1125,11696,6867,12624
2022/6/5,12:15,27,31282,1125,11696,6854,12646
2022/6/5,12:30,27,31152,1125,11696,6800,12614
2022/6/5,12:45,27,31009,1125,11696,6766,12576
2022/6/5,13:00,27,30957,1125,11696,6773,12564
2022/6/5,13:15,29,30888,1125,11696,6757,12581
2022/6/5,13:30,29,30824,1125,11696,6665,12664
2022/6/5,13:45,29,30907,1125,11696,6586,12775
2022/6/5,14:00,29,30866,1125,11696,6480,12816
2022/6/5,14:15,32,30936,1125,11696,6368,12809
2022/6/5,14:30,32,31037,1125,11696,6229,12661
2022/6/5,14:45,32,31027,1125,11696,6071,12481
2022/6/5,15:00,32,31112,1125,11696,5889,12360
2022/6/5,15:15,79,31147,1125,11670,5633,12315
2022/6/5,15:30,79,31207,1125,11602,5394,12336
2022/6/5,15:45,79,31228,1125,11462,5125,12382
2022/6/5,16:00,79,31183,1125,11113,4815,12338
2022/6/5,16:15,195,31221,1219,10603,4461,12300
2022/6/5,16:30,195,31354,1313,10039,4098,12299
2022/6/5,16:45,195,31477,1406,9462,3698,12446
2022/6/5,17:00,195,31443,1500,8954,3308,12579
2022/6/5,17:15,295,31361,1500,8559,2909,12527
2022/6/5,17:30,295,31361,1500,8132,2523,12496
2022/6/5,17:45,295,31389,1500,7511,2130,12453
2022/6/5,18:00,295,31418,1500,7133,1738,12465
2022/6/5,18:15,360,31492,1500,6396,1346,12115
2022/6/5,18:30,360,31585,1500,5884,1001,11835
2022/6/5,18:45,360,31610,1500,6061,934,11428
2022/6/5,19:00,360,31773,1500,6132,930,11386
2022/6/5,19:15,326,31686,1500,5488,612,10868
2022/6/5,19:30,326,31722,1500,4683,327,10390
2022/6/5,19:45,326,31912,1500,3968,100,9809
2022/6/5,20:00,326,31980,1500,3493,7,10103
2022/6/5,20:15,381,32217,1406,2993,0,9701
2022/6/5,20:30,381,32324,1313,2813,0,9405
2022/6/5,20:45,381,32299,1219,2528,0,9167
2022/6/5,21:00,381,32387,1125,2400,0,8891
2022/6/5,21:15,432,32462,1125,2400,0,8514
2022/6/5,21:30,432,32385,1125,2445,0,8071
2022/6/5,21:45,432,32377,1125,2400,0,7697
2022/6/5,22:00,432,32393,1125,2610,0,7418
2022/6/5,22:15,454,32153,1031,2661,0,7229
2022/6/5,22:30,454,31880,938,2826,0,6931
2022/6/5,22:45,454,31651,844,3063,0,6596
2022/6/5,23:00,454,31374,750,3714,0,6468
2022/6/5,23:15,470,31187,750,3930,0,6320
2022/6/5,23:30,470,31023,750,4112,0,6205
2022/6/5,23:45,470,30906,750,4475,0,6006
2022/6/5,0:00,470,30653,750,4671,0,5886
2022/6/6,0:15,427,30533,750,4711,0,4608
2022/6/6,0:30,427,30550,750,4877,0,4660
2022/6/6,0:45,427,30457,750,4875,0,4711
2022/6/6,1:00,427,30384,750,5084,0,4781
2022/6/6,1:15,438,30117,750,5207,0,4794
2022/6/6,1:30,438,30048,750,5298,0,4852
2022/6/6,1:45,438,30096,750,5127,0,4918
2022/6/6,2:00,438,30046,750,5074,0,5070
2022/6/6,2:15,439,29983,750,5103,0,5059
2022/6/6,2:30,439,30152,750,5087,0,4967
2022/6/6,2:45,439,30155,750,4809,0,4845
2022/6/6,3:00,439,30138,750,5265,0,4806
2022/6/6,3:15,449,30111,750,5265,0,4787
2022/6/6,3:30,449,30143,750,5255,0,4681
2022/6/6,3:45,449,30130,750,5181,0,4633
2022/6/6,4:00,449,30178,750,5151,0,4589
2022/6/6,4:15,449,30119,750,5125,0,4619
2022/6/6,4:30,449,30194,750,5071,0,4601
2022/6/6,4:45,449,30179,750,4907,5,4593
2022/6/6,5:00,449,30310,750,4820,33,4591
2022/6/6,5:15,445,30349,750,4758,65,4491
2022/6/6,5:30,445,30457,750,4426,91,4363
2022/6/6,5:45,445,30638,750,3991,178,4283
2022/6/6,6:00,445,30894,750,3812,356,4228
2022/6/6,6:15,443,31106,750,4001,609,4160
2022/6/6,6:30,443,31257,750,3961,772,4111
2022/6/6,6:45,443,31334,750,4034,717,3992
2022/6/6,7:00,443,31385,750,4060,938,3901
2022/6/6,7:15,434,31496,844,4302,1286,3772
2022/6/6,7:30,434,31369,938,4642,1689,3769
2022/6/6,7:45,434,31312,1031,4911,2118,3746
2022/6/6,8:00,434,31223,1125,5287,2592,3783
2022/6/6,8:15,406,31254,1219,5468,3065,3668
2022/6/6,8:30,406,31356,1313,5732,3521,3648
