AP,TP,RH,GHI,DHI
0,25.98241043,15.1210947,0.416938812,0.531960189
0,26.20991898,14.95974541,0.405481696,0.529564917
0,26.87050247,14.41697693,0.344650716,0.538500369
0,27.39310646,13.97945595,0.346728802,0.549767017
0,27.49464798,13.87255478,0.347595006,0.552324951
0,27.50778198,13.84878159,0.360868394,0.557368457
0,27.30353928,13.99844742,0.557523251,0.563639283
0,27.17076111,14.09690094,0.80085808,0.630730867
0,26.90327263,14.28682804,1.761116385,1.516927242
0,26.69327164,14.45760536,2.14588809,1.925707698
0,26.31741905,14.76589298,3.169570923,2.884328365
0,25.8372345,15.31055832,3.562903404,3.178218365
0,25.556633,16.09143257,2.928071976,2.580501556
0,25.3759079,16.39441681,2.636729479,2.3417871
0,25.15162659,16.81590652,3.0873034,2.786850929
0,24.59200096,18.11196136,3.401477814,3.048047543
0,24.34385109,18.44506645,2.695947886,2.43224287
0,24.29104614,18.41820335,2.400068283,2.01100111
0,23.80012512,19.45699692,3.019758224,2.796328783
0,23.33199501,19.53570557,2.684866905,2.451775789
0,23.26758194,19.4484787,2.5154562,2.247820616
0,23.0501461,19.62312126,2.127944946,1.809006095
0,23.06105042,20.54695702,2.18988204,1.855780244
0,23.24722099,19.83758354,1.797891974,1.441280603
0,23.33484459,19.55239868,1.44899416,1.196961284
0,23.35201073,19.38228798,1.21498394,0.946398973
0,23.46946144,19.24026871,0.699599981,0.550051451
0,23.51391411,19.8357029,1.136419773,0.890688837
0,23.16005707,19.81223488,1.579388142,1.232895374
0,22.93401146,20.10297203,1.718747616,1.427411795
0,22.88180542,20.24639511,1.791433573,1.494946837
0,22.72808075,20.75653267,1.844825149,1.45661509
0,22.54325867,21.63630676,2.043204784,1.671643972
0,22.5257988,22.31876755,2.139288425,1.681488156
0,22.28676605,21.67671013,1.873012304,1.556194663
0,22.03031921,21.37239456,1.885110736,1.536760211
0,21.88803864,21.97827911,1.954024315,1.682569504
0,21.61827469,23.43003273,1.935903549,1.595959187
0,21.37345123,24.52734375,1.705055237,1.383572698
0,21.28019714,25.13105011,1.754838109,1.420173287
0,21.13194656,26.98303986,2.0278368,1.624110699
0,20.9491272,27.1627655,2.301769018,1.904198885
0,20.97694397,25.1619091,1.434864402,0.989078045
0,21.02771187,25.00660896,1.673167944,1.327609539
0,20.77497292,25.46880341,1.779420853,1.418023586
0,20.61149597,25.46035767,1.725365281,1.385652065
0,20.71697998,24.82730484,1.355532289,0.912307441
0,20.74974632,24.61000824,1.379358768,1.054691672
0,20.61683083,25.08531952,1.94264102,1.577215552
0,20.36903954,25.40246582,1.975316644,1.563963056
0,20.14679909,25.99235725,2.241734028,1.848723531
0,19.91206741,26.73509979,2.385588646,1.978156567
0,19.76314354,27.34924126,1.925806046,1.538019657
0,19.67147255,27.76138687,2.139765739,1.672865152
0,19.64188385,28.59092903,1.810738206,1.512322545
0,19.51300812,29.18651962,2.333306551,1.900629759
0,19.23201942,29.24869728,2.090838432,1.634365797
0,19.20547485,28.71473312,1.70249331,1.335423231
0,19.2064724,28.70969582,1.448197246,1.00151217
0,19.13677788,28.5656662,1.534812808,1.183164001
0,19.21126747,28.22255516,1.212846279,0.813959539
0,19.085989,28.23343468,1.773560047,1.408812881
0,19.02597427,28.66069603,1.653906226,1.311583281
0,18.88755417,28.4398613,1.440340757,0.961488187
0,18.75734329,28.59924316,1.138760448,0.818697989
0,18.87459564,28.7392807,0.876503825,0.520765126
0,18.88522148,28.09490585,1.634789348,1.227907419
0,18.78974915,28.27818489,1.785503507,1.392377138
0,18.6726265,28.58038712,1.567697763,1.15391469
0,18.60892296,28.69373703,1.167620063,0.7825073
0,18.66188049,28.60372162,0.771085382,0.47886318
0,18.7609787,29.14723969,1.234157324,0.792452216
0,18.63415146,29.5268631,2.004318953,1.57397902
0,18.32265472,30.07842255,2.231888771,1.795321703
0,18.15087509,29.87294006,1.92850852,1.484816551
0,18.11857414,29.69228745,1.811678886,1.391340733
0,18.30441666,29.45145416,1.466976762,0.969700396
0,18.52008629,29.14401245,2.664199829,2.250857592
0,18.43351364,29.83552551,4.656846046,4.189447403
0,18.3325901,29.99368858,6.906476974,6.419740677
0,18.28289223,30.30223846,10.69118404,8.891801834
0,18.17657661,30.81798744,17.75532341,9.975575447
0.0118,18.42194748,30.6335392,25.82419586,12.14663506
0.068533339,18.81344986,30.0479908,29.42894936,14.35864544
0.079266667,19.39844513,29.50225449,26.11122131,16.69412422
0.090233319,19.85891342,29.4595089,27.05016136,19.58996964
0.12066666,20.32110596,28.58727264,33.46922302,19.70771217
0.204266667,20.6338768,28.60940742,33.13417435,21.61557198
0.302233338,20.98959732,28.16281509,58.53206635,20.86071968
0.489366621,21.3682003,28.15459442,53.90601349,22.79721069
0.670766652,21.85563469,29.21306801,44.66423035,24.26824951
0.805300057,22.65478516,27.06893158,34.77696609,25.17828941
0.933299959,23.85334587,23.69670105,44.23598862,24.55485725
1.064966679,24.81289482,21.90390396,216.1550751,19.52902794
1.198533297,25.24529076,20.90414619,267.2755432,21.24108124
1.330400109,25.84526062,20.24762154,294.1789246,24.38476563
1.46326673,26.58355331,19.34901619,321.6114502,28.48146057
1.594800234,27.23731804,18.44713974,348.1251221,30.97469902
1.725733399,27.92452812,16.80939865,373.9151306,33.75231552
1.854633331,28.79533577,16.43984413,397.4511719,35.55424118
1.97906661,29.18537521,15.56258297,419.4331665,37.76940536
2.101800203,29.8118763,14.71153355,440.7626953,39.8656044
2.22266674,30.34225464,13.89456463,462.3192749,41.11096573
2.340933323,30.66920853,13.69855595,485.58255,44.15910339
2.465033054,31.08236694,13.32672215,508.0879517,45.89865875
2.580699921,30.98585701,12.45683098,531.3328247,47.44897461
2.705333471,31.4407196,11.82399654,555.107605,50.03793716
2.820599794,31.69321823,11.65212345,576.5385132,51.02036285
2.928067207,31.71836853,11.75817966,598.5666504,52.60589218
3.034266472,31.97893715,11.6341362,620.3936768,54.66165161
3.130733252,31.91211891,11.98171043,639.5889893,56.50338364
3.230933189,32.39046478,11.413167,658.4155273,56.31816101
3.334733248,32.4233551,10.97986603,679.401123,60.13546753
3.446466923,32.64056396,10.91891479,696.6465454,61.29971695
3.535099983,32.51747513,10.91248512,713.9286499,67.67726135
3.622266531,32.39767838,10.98308372,733.4630737,70.17049408
3.743533134,32.88246536,10.89364529,755.8422241,71.9437561
3.80099988,33.17823792,10.71156311,772.4478149,77.17990112
3.89783287,33.16223907,10.66867447,806.3989258,89.05603027
3.967266798,33.24593735,10.63890457,822.737915,82.84496307
4.038433075,33.13967896,10.6412611,843.4824829,84.74090576
4.108832836,33.51338196,10.59298706,856.4927979,82.11153412
4.181066513,33.8900795,10.41438484,869.711853,78.76541138
4.248000145,34.05212402,10.16740799,887.5674438,81.58854675
4.322499752,33.71429825,10.31540203,904.5322266,85.05690002
4.386899948,34.25428772,10.06540298,914.3532715,78.33545685
4.448600292,34.18200684,9.984230042,934.324646,82.9010849
4.491600037,34.12641525,9.97621727,945.2285767,81.41735077
4.556933403,34.74320221,9.792771339,958.954895,80.62484741
4.609333515,35.11349106,9.691725731,970.8513184,79.02310944
4.6563344,35.01945496,9.492222786,986.3669434,83.54708099
4.680666924,35.06828308,9.619158745,995.75177,81.17987823
4.745333195,35.26147461,9.483568192,1007.4552,82.15579987
4.809366703,35.09624481,9.486205101,1024.89563,87.23265076
4.824500084,35.16680145,9.516876221,1035.50354,84.26461029
4.864800453,35.36018753,9.371833801,1048.027466,84.8645401
4.916100025,35.63523483,9.4662323,1059.981689,85.7253418
5.000767231,35.59109497,9.388202667,1078.655151,94.09029388
5.011500359,35.81862259,9.327447891,1086.150513,94.86692047
5.039033413,35.74171829,9.364020348,1098.529297,100.6262054
5.046600342,35.88129425,9.286642075,1104.602783,98.20240784
5.072100639,36.01092911,9.235333443,1109.211182,96.30450439
5.141966343,36.23134995,9.292879105,1121.285156,101.0779953
5.182799339,36.34420776,9.30083847,1126.902344,98.45523071
5.173132896,36.01363373,9.410245895,1138.625122,103.8658371
5.162733555,36.91330719,9.185063362,1132.545776,91.10378265
5.214700222,36.66346741,9.190709114,1142.911377,97.28881836
